Fiscal Year Released,Main Supervising District,Release Type,Race - Ethnicity,Age At Release ,Sex,Return to Prison,Days to Return,Recidivism Type,Offense,New Offense
2015,,Discharged - Expiration of Sentence,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,2JD,Special Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Sex,No recidivism
2015,4JD,Parole Granted,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,4JD,Parole,White - Non-Hispanic,25-34,Male,Yes,718.0,Tech,Property-Arson,Property-Arson
2013,5JD,Parole Granted,Black - Non-Hispanic,35-44,Female,Yes,649.0,Tech,Property-Forgery/Fraud,No recidivism
2014,8JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,ISC,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Murder/Manslaughter,No recidivism
2015,7JD,Discharged - Expiration of Sentence,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Robbery,No recidivism
2014,5JD,Parole,White - Non-Hispanic,25-34,Male,Yes,216.0,Tech,Property-Theft,Other-Other Criminal
2014,,,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Public Order-Traffic,No recidivism
2015,3JD,Parole Granted,American Indian or Alaska Native - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2015,7JD,Parole Granted,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Assault,No recidivism
2014,,,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Vandalism,No recidivism
2015,,Parole Granted,Black - Non-Hispanic,35-44,Female,No,,No Recidivism,Violent-Assault,No recidivism
2012,1JD,Parole,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2015,5JD,Parole Granted,Black - Non-Hispanic,Under 25,Male,Yes,985.0,New,Drug-Trafficking,Drug-Trafficking
2012,7JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Other Violent,No recidivism
2015,5JD,Parole Granted,White - Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2010,,Discharged – End of Sentence,White - Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2015,5JD,Released to Special Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Sex,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2012,7JD,Parole,White - Hispanic,25-34,Female,No,,No Recidivism,Property-Theft,No recidivism
2013,2JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,3JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,,Paroled to Detainer - INS,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,218.0,Tech,Public Order-OWI,Public Order-OWI
2014,7JD,Parole,White - Hispanic,Under 25,Male,No,,No Recidivism,Property-Vandalism,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,Yes,705.0,New,Property-Forgery/Fraud,Property-Burglary
2013,7JD,Parole Granted,Black - Non-Hispanic,25-34,Male,Yes,415.0,New,Property-Burglary,Property-Burglary
2013,1JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,1070.0,New,Drug-Trafficking,Violent-Assault
2014,,,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2015,3JD,Parole Granted,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2010,1JD,Parole,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Other Drug,No recidivism
2013,5JD,Paroled w/Immediate Discharge,Black - Non-Hispanic,Under 25,Male,Yes,206.0,New,Property-Forgery/Fraud,Property-Arson
2013,,Discharged - Expiration of Sentence,American Indian or Alaska Native - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Burglary,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,55 and Older,Male,Yes,84.0,Tech,Violent-Murder/Manslaughter,Violent-Murder/Manslaughter
2014,5JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2015,7JD,Released to Special Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Sex,No recidivism
2010,1JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Arson,No recidivism
2012,7JD,Parole,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Burglary,No recidivism
2013,2JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,118.0,Tech,Drug-Trafficking,No recidivism
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2015,,Discharged - Expiration of Sentence,American Indian or Alaska Native - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2010,1JD,Parole,White - Non-Hispanic,25-34,Male,Yes,525.0,New,Drug-Trafficking,Property-Forgery/Fraud
2011,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Female,Yes,1017.0,New,Property-Theft,Violent-Assault
2014,,,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Robbery,No recidivism
2013,1JD,Parole Granted,White - Non-Hispanic,35-44,Male,Yes,147.0,Tech,Drug-Trafficking,No recidivism
2010,7JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2011,5JD,Parole,White - Non-Hispanic,35-44,Female,No,,No Recidivism,Drug-Drug Possession,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Other Violent,No recidivism
2014,5JD,Parole,Black - Non-Hispanic,25-34,Male,Yes,631.0,Tech,Drug-Trafficking,Drug-Trafficking
2011,5JD,Parole,White - Non-Hispanic,35-44,Female,Yes,149.0,Tech,Public Order-Prostitution/Pimping,No recidivism
2011,7JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Violent-Sex,No recidivism
2012,6JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,ISC,Parole,White - Non-Hispanic,55 and Older,Male,Yes,197.0,Tech,Drug-Other Drug,No recidivism
2012,1JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Yes,267.0,New,Property-Theft,Property-Theft
2012,1JD,Parole,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,8JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-Weapons,No recidivism
2015,7JD,Parole Granted,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Public Order-Weapons,No recidivism
2013,6JD,Parole Granted,Black - Non-Hispanic,35-44,Female,Yes,879.0,New,Violent-Assault,Violent-Assault
2014,1JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,Yes,594.0,New,Property-Forgery/Fraud,Violent-Other Violent
2011,7JD,Parole,White - Non-Hispanic,Under 25,Female,No,,No Recidivism,Violent-Sex,No recidivism
2012,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-Alcohol,No recidivism
2014,7JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Violent-Sex,No recidivism
2012,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Yes,844.0,New,Public Order-OWI,Public Order-Traffic
2014,5JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2011,,Discharged – End of Sentence,Asian or Pacific Islander - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2014,,,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2014,5JD,Parole,White - Hispanic,35-44,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,5JD,Parole,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,8JD,Special Sentence,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Violent-Sex,No recidivism
2013,7JD,Parole Granted,White - Non-Hispanic,45-54,Female,Yes,56.0,Tech,Property-Forgery/Fraud,No recidivism
2014,2JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,7JD,Parole Granted,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Vandalism,No recidivism
2011,6JD,Parole,White - Non-Hispanic,45-54,Female,No,,No Recidivism,Property-Burglary,No recidivism
2010,8JD,Parole,White - Non-Hispanic,25-34,Male,Yes,251.0,Tech,Drug-Trafficking,No recidivism
2012,ISC,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2014,2JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,7JD,Parole Granted,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2013,,Discharged - Expiration of Sentence,Black - Non-Hispanic,Under 25,Male,Yes,924.0,New,Violent-Assault,Public Order-Weapons
2011,8JD,Special Sentence,White - Hispanic,45-54,Male,Yes,413.0,Tech,Public Order-Other Public Order,No recidivism
2012,8JD,Parole,White - Non-Hispanic,25-34,Male,Yes,417.0,New,Drug-Trafficking,Public Order-Other Public Order
2013,,Paroled to Detainer - INS,White - Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,3JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2014,5JD,Parole,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2010,5JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,1JD,Parole,White - Hispanic,25-34,Female,No,,No Recidivism,Violent-Assault,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,45-54,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,2JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Murder/Manslaughter,No recidivism
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,1JD,Parole,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2013,2JD,Parole Granted,Black - Non-Hispanic,Under 25,Male,Yes,189.0,New,Drug-Trafficking,Public Order-Flight/Escape
2013,7JD,Parole Granted,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Other Violent,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Yes,182.0,New,Property-Theft,Drug-Trafficking
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Yes,521.0,New,Drug-Drug Possession,Drug-Trafficking
2010,1JD,Parole,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2015,1JD,Parole Granted,Black - Non-Hispanic,Under 25,Male,Yes,883.0,New,Violent-Other Violent,Property-Burglary
2012,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,1JD,Parole,White - Non-Hispanic,45-54,Female,No,,No Recidivism,Violent-Robbery,No recidivism
2010,5JD,Parole,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Violent-Assault,No recidivism
2010,2JD,Parole,White - Non-Hispanic,25-34,Male,Yes,426.0,Tech,Property-Burglary,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,134.0,Tech,Violent-Assault,No recidivism
2011,3JD,Parole,White - Hispanic,45-54,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-Alcohol,No recidivism
2013,2JD,Parole Granted,White - Non-Hispanic,Under 25,Female,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2012,6JD,Parole,White - Non-Hispanic,25-34,Male,Yes,455.0,New,Drug-Trafficking,Public Order-OWI
2010,5JD,Parole,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Robbery,No recidivism
2015,2JD,Parole Granted,White - Hispanic,35-44,Male,Yes,455.0,New,Drug-Trafficking,Drug-Trafficking
2015,8JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,,,Black - Non-Hispanic,35-44,Male,Yes,599.0,New,Property-Burglary,Property-Theft
2010,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Vandalism,No recidivism
2014,8JD,Parole,White - Non-Hispanic,25-34,Male,Yes,153.0,New,Drug-Trafficking,Drug-Trafficking
2011,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Female,No,,No Recidivism,Property-Theft,No recidivism
2010,3JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2013,5JD,Parole Granted,White - Hispanic,45-54,Male,No,,No Recidivism,Violent-Murder/Manslaughter,No recidivism
2010,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,Yes,295.0,New,Violent-Assault,Violent-Assault
2012,7JD,Parole,Black - Non-Hispanic,45-54,Male,Yes,784.0,New,Drug-Trafficking,Drug-Trafficking
2011,4JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,110.0,New,Drug-Trafficking,Violent-Assault
2013,5JD,Parole Granted,White - Non-Hispanic,Under 25,Male,Yes,147.0,New,Drug-Trafficking,Property-Theft
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2013,7JD,Parole Granted,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,1JD,Parole,White - Non-Hispanic,25-34,Male,Yes,753.0,New,Property-Burglary,Property-Forgery/Fraud
2011,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,5JD,Parole,Black - Non-Hispanic,25-34,Male,Yes,868.0,New,Violent-Other Violent,Violent-Assault
2011,2JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2015,1JD,Parole Granted,Black - Non-Hispanic,35-44,Female,No,,No Recidivism,Property-Theft,No recidivism
2013,6JD,Released to Special Sentence,Black - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Violent-Sex,No recidivism
2015,5JD,Parole Granted,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Arson,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Property-Burglary,No recidivism
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,Yes,942.0,New,Property-Burglary,Property-Forgery/Fraud
2011,1JD,Parole,Black - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Property-Theft,No recidivism
2011,7JD,Parole,White - Non-Hispanic,45-54,Male,Yes,81.0,Tech,Public Order-Other Public Order,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Female,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2014,2JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2013,3JD,Parole Granted,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,,Discharged - Expiration of Sentence,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2010,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Theft,No recidivism
2014,5JD,Parole,White - Non-Hispanic,45-54,Male,Yes,330.0,New,Drug-Trafficking,Drug-Trafficking
2014,5JD,Parole,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Property-Theft,No recidivism
2013,4JD,Paroled w/Immediate Discharge,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Theft,No recidivism
2013,8JD,Parole Granted,White - Hispanic,35-44,Male,Yes,928.0,New,Violent-Assault,Drug-Trafficking
2015,6JD,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,Yes,671.0,New,Property-Forgery/Fraud,Other-Other Criminal
2010,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Sex,No recidivism
2013,,Paroled to Detainer - U.S. Marshall,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,5JD,Parole Granted,Black - Non-Hispanic,25-34,Male,Yes,359.0,Tech,Drug-Trafficking,Drug-Trafficking
2012,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2013,,Discharged - Expiration of Sentence,White - Hispanic,45-54,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2014,1JD,Parole,Black - Non-Hispanic,25-34,Male,Yes,948.0,New,Violent-Assault,Public Order-Traffic
2013,2JD,Parole Granted,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-Other Public Order,No recidivism
2011,5JD,Parole,White - Non-Hispanic,35-44,Male,Yes,525.0,New,Drug-Trafficking,Drug-Trafficking
2014,8JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Public Order-Other Public Order,No recidivism
2014,,,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,5JD,Parole,Black - Non-Hispanic,Under 25,Female,No,,No Recidivism,Property-Theft,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Female,Yes,681.0,New,Drug-Drug Possession,Property-Theft
2014,,,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2015,7JD,Paroled w/Immediate Discharge,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-Alcohol,No recidivism
2012,ISC,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,,,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,1JD,Parole Granted,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,1JD,Parole,Black - Non-Hispanic,25-34,Female,No,,No Recidivism,Property-Theft,No recidivism
2010,8JD,Parole,White - Non-Hispanic,45-54,Male,Yes,1091.0,New,Property-Burglary,Property-Theft
2012,ISC,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2015,8JD,Parole Granted,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,,Paroled to Detainer - U.S. Marshall,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2012,5JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2015,2JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,3JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,,Paroled to Detainer - INS,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,5JD,Parole,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Public Order-Alcohol,No recidivism
2015,3JD,Parole Granted,White - Hispanic,35-44,Female,Yes,88.0,Tech,Drug-Drug Possession,Drug-Drug Possession
2015,8JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-Weapons,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Yes,342.0,New,Property-Burglary,Drug-Other Drug
2012,1JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Vandalism,No recidivism
2011,1JD,Parole,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,8JD,Parole,White - Non-Hispanic,25-34,Male,Yes,306.0,New,Other-Other Criminal,Other-Other Criminal
2010,3JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,1JD,Parole Granted,Black - Non-Hispanic,25-34,Male,Yes,733.0,Tech,Drug-Trafficking,Drug-Trafficking
2011,5JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,2JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,5JD,Parole Granted,Black - Non-Hispanic,55 and Older,Male,Yes,601.0,New,Drug-Trafficking,Drug-Trafficking
2013,1JD,Parole Granted,White - Non-Hispanic,35-44,Male,Yes,328.0,New,Drug-Trafficking,Drug-Trafficking
2014,,,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Sex,No recidivism
2014,5JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,7JD,Parole,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2013,6JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,884.0,Tech,Property-Burglary,No recidivism
2012,1JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-Traffic,No recidivism
2011,6JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2011,,Discharged – End of Sentence,White -,45-54,Male,No,,No Recidivism,Violent-Assault,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Other Violent,No recidivism
2012,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Burglary,No recidivism
2010,8JD,Parole,White - Non-Hispanic,25-34,Male,Yes,663.0,Tech,Violent-Assault,No recidivism
2012,2JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Theft,No recidivism
2011,7JD,Parole,Black - Non-Hispanic,25-34,Female,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2015,6JD,Released to Special Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2015,1JD,Paroled w/Immediate Discharge,White - Non-Hispanic,45-54,Male,Yes,126.0,New,Property-Theft,Public Order-Alcohol
2014,1JD,Parole,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,1JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Female,No,,No Recidivism,Public Order-Prostitution/Pimping,No recidivism
2014,,,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,5JD,Parole,White - Non-Hispanic,45-54,Female,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2014,,,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,5JD,Parole,White - Non-Hispanic,25-34,Male,Yes,418.0,New,Property-Arson,Property-Arson
2010,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Yes,332.0,New,Property-Burglary,Property-Theft
2012,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Theft,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2014,,,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,1JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2013,3JD,Parole Granted,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,2JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2015,8JD,Parole Granted,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,Under 25,Male,Yes,1086.0,New,Property-Theft,Property-Vandalism
2013,5JD,Parole Granted,White - Non-Hispanic,45-54,Male,Yes,124.0,New,Property-Theft,Public Order-OWI
2014,,,White - Non-Hispanic,25-34,Male,Yes,595.0,New,Violent-Sex,Other-Other Criminal
2012,5JD,Parole,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Public Order-Weapons,No recidivism
2015,2JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
